,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Ticker,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Date,,,,,,,,,,,,,,,,,,,,
2024-09-27,227.2897491455078,426.3101501464844,163.76231384277344,187.97000122070312,121.39163970947266,566.9027099609375,260.4599914550781,77.87999725341797,515.47998046875,52.261749267578125,164.35000610351562,23.90999984741211,707.3499755859375,69.55000305175781,65.75,203.9694061279297,169.2446746826172,839.5912475585938,172.22854614257812,41.9739990234375
2024-09-30,232.48831176757812,428.5810241699219,165.66014099121094,186.3300018310547,121.43163299560547,571.9786376953125,261.6300048828125,78.02999877929688,517.780029296875,52.45888900756836,164.0800018310547,23.459999084472656,709.27001953125,69.73999786376953,66.83000183105469,201.11273193359375,169.1650848388672,831.3204345703125,172.03904724121094,41.63999938964844
2024-10-01,225.71322631835938,419.0094299316406,166.79884338378906,185.1300048828125,116.99193572998047,576.00537109375,258.0199890136719,77.47000122070312,502.79998779296875,51.985755920410156,159.75,22.690000534057617,706.1300048828125,68.63999938964844,63.93000030517578,196.28521728515625,164.9173126220703,820.4456787109375,167.02249145507812,40.54999923706055
2024-10-02,226.28196716308594,415.46368408203125,165.67013549804688,184.75999450683594,118.84181213378906,572.3483276367188,249.02000427246094,77.44000244140625,505.80999755859375,52.263858795166016,159.77999877929688,22.389999389648438,711.0900268554688,67.61000061035156,63.15999984741211,200.21690368652344,167.444091796875,830.2628784179688,170.20396423339844,42.0
2024-10-03,225.17440795898438,414.87603759765625,165.67013549804688,181.9600067138672,122.84153747558594,582.30029296875,240.66000366210938,77.30999755859375,503.79998779296875,52.07514572143555,162.85000610351562,22.260000228881836,706.7999877929688,67.20999908447266,61.06999969482422,198.66412353515625,168.0409698486328,830.4823608398438,171.43067932128906,41.54999923706055
2024-10-04,226.30194091796875,414.39794921875,166.86875915527344,186.50999450683594,124.91139221191406,595.459716796875,250.0800018310547,79.36000061035156,507.2200012207031,52.39297866821289,170.89999389648438,22.59000015258789,719.7000122070312,68.66000366210938,60.20000076293945,201.03311157226562,168.0210723876953,831.071044921875,176.16798400878906,41.22999954223633
2024-10-07,221.2031707763672,407.9040222167969,162.79342651367188,180.8000030517578,127.7112045288086,584.3087158203125,240.8300018310547,80.26000213623047,487.29998779296875,52.15460205078125,170.97000122070312,22.3799991607666,701.9199829101562,68.16000366210938,58.720001220703125,199.20162963867188,166.07127380371094,815.3574829101562,174.61215209960938,47.7400016784668
2024-10-08,225.27420043945312,413.0533447265625,164.19183349609375,182.72000122070312,132.88084411621094,592.4121704101562,244.5,81.16000366210938,496.239990234375,52.37311553955078,172.8000030517578,23.31999969482422,721.760009765625,68.31999969482422,58.38999938964844,199.94815063476562,165.47439575195312,822.3512573242188,180.24705505371094,45.349998474121094
2024-10-09,229.03591918945312,415.7923278808594,161.67471313476562,185.1699981689453,132.64085388183594,590.0340576171875,241.0500030517578,81.6500015258789,494.0799865722656,53.1974983215332,171.02000427246094,23.459999084472656,727.4299926757812,69.97000122070312,58.86000061035156,204.10874938964844,169.33419799804688,843.941162109375,185.45310974121094,47.290000915527344
2024-10-10,228.53700256347656,414.1788024902344,161.8944549560547,186.64999389648438,134.8007049560547,583.3594360351562,238.77000427246094,78.9800033569336,503.57000732421875,53.17763137817383,164.17999267578125,23.219999313354492,730.2899780273438,70.8499984741211,56.83000183105469,203.01388549804688,167.64305114746094,832.0387573242188,185.1938018798828,46.470001220703125
2024-10-11,227.05029296875,414.65692138671875,163.05313110351562,188.82000732421875,134.79071044921875,589.4745483398438,217.8000030517578,80.51000213623047,495.4200134277344,53.88282775878906,167.88999938964844,23.559999465942383,722.7899780273438,70.68000030517578,58.290000915527344,204.10874938964844,169.09544372558594,838.7432250976562,180.9950408935547,47.79999923706055
2024-10-14,230.79205322265625,417.46563720703125,164.7711639404297,187.5399932861328,138.0605010986328,589.944091796875,219.16000366210938,80.66999816894531,509.6499938964844,53.90269088745117,165.27000427246094,23.440000534057617,713.0,67.88999938964844,57.72999954223633,212.89781188964844,177.11349487304688,870.2501220703125,181.8228302001953,47.38999938964844
2024-10-15,233.33645629882812,417.0672302246094,165.27059936523438,187.69000244140625,131.5909423828125,585.7974853515625,219.57000732421875,79.55000305175781,508.0299987792969,53.7139778137207,156.63999938964844,22.65999984741211,705.97998046875,68.41999816894531,57.310001373291016,190.13389587402344,173.18406677246094,728.738525390625,175.50975036621094,47.7599983215332
2024-10-16,231.27099609375,414.45770263671875,164.97093200683594,186.88999938964844,135.7106475830078,576.3250732421875,221.3300018310547,80.81999969482422,502.5400085449219,55.9984130859375,156.1300048828125,22.309999465942383,702.0,68.93000030517578,57.459999084472656,183.7337188720703,170.587646484375,681.9371948242188,176.34750366210938,48.75
